OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
10322,PERIC,7,04-10-2016,01-11-2016,23-10-2016,3,15,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,Central America,5033,Mexico
10323,KOENE,4,07-10-2016,04-11-2016,14-10-2016,1,13.25,Königlich Essen,Maubelstr. 90,Brandenburg,Western Europe,14776,Germany
10324,SAVEA,9,08-10-2016,05-11-2016,10-10-2016,1,70.25,Save-a-lot Markets,187 Suffolk Ln.,Boise,North America,83720,USA
10325,KOENE,1,09-10-2016,23-10-2016,14-10-2016,3,27.75,Königlich Essen,Maubelstr. 90,Brandenburg,Western Europe,14776,Germany
10326,BOLID,4,10-10-2016,07-11-2016,14-10-2016,2,32.5,Bólido Comidas preparadas,"C/ Araquil, 67",Madrid,Southern Europe,28023,Spain
10327,FOLKO,2,11-10-2016,08-11-2016,14-10-2016,1,45,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden
10328,FURIB,4,14-10-2016,11-11-2016,17-10-2016,3,24.75,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,Southern Europe,1675,Portugal
10329,SPLIR,4,15-10-2016,26-11-2016,23-10-2016,2,22.5,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA
10330,LILAS,3,16-10-2016,13-11-2016,28-10-2016,1,28.75,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela
10331,BONAP,9,16-10-2016,27-11-2016,21-10-2016,1,13.75,Bon app-,"12, rue des Bouchers",Marseille,Western Europe,13008,France
10332,MEREP,3,17-10-2016,28-11-2016,21-10-2016,2,26.5,Mère Paillarde,43 rue St. Laurent,Montréal,North America,H1J 1C3,Canada
10333,WARTH,5,18-10-2016,15-11-2016,25-10-2016,3,25,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland
10334,VICTE,8,21-10-2016,18-11-2016,28-10-2016,2,14.5,Victuailles en stock,"2, rue du Commerce",Lyon,Western Europe,69004,France
10335,HUNGO,7,22-10-2016,19-11-2016,24-10-2016,2,31.5,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland
10336,PRINI,7,23-10-2016,20-11-2016,25-10-2016,2,14.5,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,Southern Europe,1756,Portugal
10337,FRANK,4,24-10-2016,21-11-2016,29-10-2016,3,44.25,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany
10338,OLDWO,4,25-10-2016,22-11-2016,29-10-2016,3,18.75,Old World Delicatessen,2743 Bering St.,Anchorage,North America,99508,USA
10339,MEREP,2,28-10-2016,25-11-2016,04-11-2016,2,37,Mère Paillarde,43 rue St. Laurent,Montréal,North America,H1J 1C3,Canada
10340,BONAP,1,29-10-2016,26-11-2016,08-11-2016,3,28,Bon app-,"12, rue des Bouchers",Marseille,Western Europe,13008,France
10341,SIMOB,7,29-10-2016,26-11-2016,05-11-2016,3,14.25,Simons bistro,Vinbæltet 34,Kobenhavn,Northern Europe,1734,Denmark
10342,FRANK,4,30-10-2016,13-11-2016,04-11-2016,2,50,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany
10343,LEHMS,4,31-10-2016,28-11-2016,06-11-2016,1,27.25,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany
10344,WHITC,4,01-11-2016,29-11-2016,05-11-2016,2,36.25,White Clover Markets,1029 - 12th Ave. S.,Seattle,North America,98124,USA
10345,QUICK,2,04-11-2016,02-12-2016,11-11-2016,2,49.75,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,1307,Germany
10346,RATTC,3,05-11-2016,17-12-2016,08-11-2016,3,24,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
10347,FAMIA,4,06-11-2016,04-12-2016,08-11-2016,3,27.5,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,South America,05442-030,Brazil
10348,WANDK,4,07-11-2016,05-12-2016,15-11-2016,2,20,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany
10349,SPLIR,7,08-11-2016,06-12-2016,15-11-2016,1,16,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA
10350,LAMAI,6,11-11-2016,09-12-2016,03-12-2016,2,18.25,La maison d-Asie,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France
10351,ERNSH,1,11-11-2016,09-12-2016,20-11-2016,1,40,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10352,FURIB,3,12-11-2016,26-11-2016,18-11-2016,3,17.5,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,Southern Europe,1675,Portugal
10353,PICCO,7,13-11-2016,11-12-2016,25-11-2016,3,25.5,Piccolo und mehr,Geislweg 14,Salzburg,Western Europe,5020,Austria
10354,PERIC,8,14-11-2016,12-12-2016,20-11-2016,3,14,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,Central America,5033,Mexico
10355,AROUT,6,15-11-2016,13-12-2016,20-11-2016,1,22.5,Around the Horn,Brook Farm Stratford St. Mary,Colchester,British Isles,CO7 6JX,UK
10356,WANDK,6,18-11-2016,16-12-2016,27-11-2016,2,25.5,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany
10357,LILAS,1,19-11-2016,17-12-2016,02-12-2016,3,23.5,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela
10358,LAMAI,5,20-11-2016,18-12-2016,27-11-2016,1,20,La maison d-Asie,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France
10359,SEVES,5,21-11-2016,19-12-2016,26-11-2016,3,61.5,Seven Seas Imports,90 Wadhurst Rd.,London,British Isles,OX15 4NB,UK
10360,BLONP,4,22-11-2016,20-12-2016,02-12-2016,3,44.5,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France
10361,QUICK,1,22-11-2016,20-12-2016,03-12-2016,2,37.25,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,1307,Germany
10362,BONAP,3,25-11-2016,23-12-2016,28-11-2016,1,33.5,Bon app-,"12, rue des Bouchers",Marseille,Western Europe,13008,France
10363,DRACD,4,26-11-2016,24-12-2016,04-12-2016,3,21,Drachenblut Delikatessen,Walserweg 21,Aachen,Western Europe,52066,Germany
10364,EASTC,1,26-11-2016,07-01-2017,04-12-2016,1,18.75,Eastern Connection,35 King George,London,British Isles,WX3 6FW,UK
10365,ANTON,3,27-11-2016,25-12-2016,02-12-2016,2,16,Antonio Moreno Taquería,Mataderos  2312,México D.F.,Central America,5023,Mexico
10366,GALED,8,28-11-2016,09-01-2017,30-12-2016,2,12.5,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona,Southern Europe,8022,Spain
10367,VAFFE,7,28-11-2016,26-12-2016,02-12-2016,3,29,Vaffeljernet,Smagsloget 45,Århus,Northern Europe,8200,Denmark
10368,ERNSH,2,29-11-2016,27-12-2016,02-12-2016,2,29.5,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10369,SPLIR,8,02-12-2016,30-12-2016,09-12-2016,2,19.5,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA
10370,CHOPS,6,03-12-2016,31-12-2016,27-12-2016,2,26.25,Chop-suey Chinese,Hauptstr. 31,Bern,Western Europe,3012,Switzerland
10371,LAMAI,1,03-12-2016,31-12-2016,24-12-2016,1,11.5,La maison d-Asie,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France
10372,QUEEN,5,04-12-2016,01-01-2017,09-12-2016,2,51,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,South America,05487-020,Brazil
10373,HUNGO,4,05-12-2016,02-01-2017,11-12-2016,3,42.5,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland
10374,WOLZA,1,05-12-2016,02-01-2017,09-12-2016,3,21.25,Wolski Zajazd,ul. Filtrowa 68,Warszawa,Eastern Europe,01-012,Poland
10375,HUNGC,3,06-12-2016,03-01-2017,09-12-2016,2,16.25,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,North America,97827,USA
10376,MEREP,1,09-12-2016,06-01-2017,13-12-2016,2,20.5,Mère Paillarde,43 rue St. Laurent,Montréal,North America,H1J 1C3,Canada
10377,SEVES,1,09-12-2016,06-01-2017,13-12-2016,3,20,Seven Seas Imports,90 Wadhurst Rd.,London,British Isles,OX15 4NB,UK
10378,FOLKO,5,10-12-2016,07-01-2017,19-12-2016,3,11.5,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden
10379,QUEDE,2,11-12-2016,08-01-2017,13-12-2016,1,21,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil
10380,HUNGO,8,12-12-2016,09-01-2017,16-01-2017,3,28.5,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland
10381,LILAS,3,12-12-2016,09-01-2017,13-12-2016,3,13.5,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela
10382,ERNSH,4,13-12-2016,10-01-2017,16-12-2016,1,51.25,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10383,AROUT,8,16-12-2016,13-01-2017,18-12-2016,3,23.75,Around the Horn,Brook Farm Stratford St. Mary,Colchester,British Isles,CO7 6JX,UK
10384,BERGS,3,16-12-2016,13-01-2017,20-12-2016,3,20.75,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden
10385,SPLIR,1,17-12-2016,14-01-2017,23-12-2016,2,19.5,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA
10386,FAMIA,9,18-12-2016,01-01-2017,25-12-2016,3,16.25,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,South America,05442-030,Brazil
10387,SANTG,1,18-12-2016,15-01-2017,20-12-2016,2,22,Santé Gourmet,Erling Skakkes gate 78,Stavern,Scandinavia,4110,Norway
10388,SEVES,2,19-12-2016,16-01-2017,20-12-2016,1,28.75,Seven Seas Imports,90 Wadhurst Rd.,London,British Isles,OX15 4NB,UK
10389,BOTTM,4,20-12-2016,17-01-2017,24-12-2016,2,30.25,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,North America,T2F 8M4,Canada
10390,ERNSH,6,23-12-2016,20-01-2017,26-12-2016,1,52.25,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10391,DRACD,3,23-12-2016,20-01-2017,31-12-2016,3,14.5,Drachenblut Delikatessen,Walserweg 21,Aachen,Western Europe,52066,Germany
10392,PICCO,2,24-12-2016,21-01-2017,01-01-2017,3,22.5,Piccolo und mehr,Geislweg 14,Salzburg,Western Europe,5020,Austria
10393,SAVEA,1,25-12-2016,22-01-2017,03-01-2017,3,54,Save-a-lot Markets,187 Suffolk Ln.,Boise,North America,83720,USA
10394,HUNGC,1,25-12-2016,22-01-2017,03-01-2017,3,15,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,North America,97827,USA
10395,HILAA,6,26-12-2016,23-01-2017,03-01-2017,1,36.5,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,South America,5022,Venezuela
10396,FRANK,1,27-12-2016,10-01-2017,06-01-2017,3,40.25,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany
10397,PRINI,5,27-12-2016,24-01-2017,02-01-2017,1,17,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,Southern Europe,1756,Portugal
10398,SAVEA,2,30-12-2016,27-01-2017,09-01-2017,3,47.5,Save-a-lot Markets,187 Suffolk Ln.,Boise,North America,83720,USA
10399,VAFFE,8,31-12-2016,14-01-2017,08-01-2017,3,44.75,Vaffeljernet,Smagsloget 45,Århus,Northern Europe,8200,Denmark
10400,EASTC,1,01-01-2017,29-01-2017,16-01-2017,3,31.5,Eastern Connection,35 King George,London,British Isles,WX3 6FW,UK
10401,RATTC,1,01-01-2017,29-01-2017,10-01-2017,1,52,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
10402,ERNSH,8,02-01-2017,13-02-2017,10-01-2017,2,41.25,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10403,ERNSH,4,03-01-2017,31-01-2017,09-01-2017,3,32.75,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10404,MAGAA,2,03-01-2017,31-01-2017,08-01-2017,1,35,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,24100,Italy
10405,LINOD,1,06-01-2017,03-02-2017,22-01-2017,1,22.5,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,South America,4980,Venezuela
10406,QUEEN,7,07-01-2017,18-02-2017,13-01-2017,1,32.25,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,South America,05487-020,Brazil
10407,OTTIK,2,07-01-2017,04-02-2017,30-01-2017,2,25,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Western Europe,50739,Germany
10408,FOLIG,8,08-01-2017,05-02-2017,14-01-2017,1,22.75,Folies gourmandes,"184, chaussée de Tournai",Lille,Western Europe,59000,France
10409,OCEAN,3,09-01-2017,06-02-2017,14-01-2017,1,16,Océano Atlántico Ltda.,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,South America,1010,Argentina
10410,BOTTM,3,10-01-2017,07-02-2017,15-01-2017,3,26.25,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,North America,T2F 8M4,Canada
10411,BOTTM,9,10-01-2017,07-02-2017,21-01-2017,3,28.5,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,North America,T2F 8M4,Canada
10412,WARTH,8,13-01-2017,10-02-2017,15-01-2017,2,15,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland
10413,LAMAI,3,14-01-2017,11-02-2017,16-01-2017,2,29.5,La maison d-Asie,1 rue Alsace-Lorraine,Toulouse,Western Europe,31000,France
10414,FAMIA,2,14-01-2017,11-02-2017,17-01-2017,3,27,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,South America,05442-030,Brazil
10415,HUNGC,3,15-01-2017,12-02-2017,24-01-2017,1,15.5,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,North America,97827,USA
10416,WARTH,8,16-01-2017,13-02-2017,27-01-2017,3,22.5,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland
10417,SIMOB,4,16-01-2017,13-02-2017,28-01-2017,3,40.75,Simons bistro,Vinbæltet 34,Kobenhavn,Northern Europe,1734,Denmark
10418,QUICK,4,17-01-2017,14-02-2017,24-01-2017,1,46.5,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,1307,Germany
10419,RICSU,4,20-01-2017,17-02-2017,30-01-2017,2,30,Richter Supermarkt,Starenweg 5,Genève,Western Europe,1204,Switzerland
10420,WELLI,3,21-01-2017,18-02-2017,27-01-2017,1,22.5,Wellington Importadora,"Rua do Mercado, 12",Resende,South America,08737-363,Brazil
10421,QUEDE,8,21-01-2017,04-03-2017,27-01-2017,1,24.75,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil
10422,FRANS,2,22-01-2017,19-02-2017,31-01-2017,1,10.5,Franchi S.p.A.,Via Monte Bianco 34,Torino,Southern Europe,10100,Italy
10423,GOURL,6,23-01-2017,06-02-2017,24-02-2017,3,18.5,Gourmet Lanchonetes,"Av. Brasil, 442",Campinas,South America,04876-786,Brazil
